S.No.,Developer Name,CEO Name ,Office Address,Office Contact No.,Mobile No. ,E Mail,Total Project capacity (MW),Project Location,Project Tehsil/Taluka,Project District,Project Logitude,Project Latitude,"Projects in Solar Park
(Yes/No), If yes mention Solar Park name",,Type (Ground Mounted/Rooftop/Other),Type of Module (Thin/Poly/Mono/Other),Module Make,Scheme (Central /State Scheme),Mode of sale of power(captive/PPA/Third party sale),Tenure of PPA,Substation Name,Substation Voltage Level,Feeder Name,Feeder Voltage,Commissioned AC Capacity (MW) ,Commissioned DC Capacity (MWp) ,Date of Commissioning ,"Remark,if any",FY
11,B.G.Channappa,Mr. Dhanya Kumar Channappa,"No. 135/ A-35, 9th Main, R.M.V Extn Sadashiva Nagar, Bangalore, Pin No. 560080, India",,9900246161,dhanya@purizonenergy.com,4,"Gowriganipalli, Manepalli",Lepakshi,Ananthapuramu,77.5,13.7°,No,NA,Ground mounted,Mono Crystallaine,Emmvee,State,Third Party Sale,NA,Sreekantapuram,33/11 KV ,B.G.Channappa,33KV,4,5.004,22.04.2013,,2013-14
12,Valuelabs LLP,Arjun Rao,"Plot no #41, Hitec City, Phase II, Hyderabad 500081",040 66239000,8099068183,"anil.kambam@valuelabs.com
sivaram.meuga@valuelabs.com",5,Maddimadugu,Nallacheruvu,Ananthapuramu,78.172,13.99,No,NA,Ground mounted,Poly Crystalline,Hanwa Solar One ,State,Captive Use,NA,Nallacheruvu ,33KV/11KV,Nallacheruvu Feeder,33KV,5,5.1,24.04.2013,,2013-14
13,SEI SriRam Power Pvt. Ltd(M/s. Emmvee Energy Private Limited),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,10,"Gowriganipalli, Manepalli",Lepakshi,Ananthapuramu,"77'33'32""","13'43'40""",No,NA,Ground mounted,Poly & Mono Crystalline,Emmvee,State,Third party sale,NA,Lepakshi , 33/11 KV,Solar ,33 KV,10,10.9,04.05.2013,,2013-14
14,M/s The KCP Limited,,", “Ramakrishna Buildings”, No.2, Dr.P.V.Cherian Crescent, Egmore, Chennai – 600 008",44 66772600,,corporate@kcp.co.in,1,Muktyala,Jaggayyapet (M), Krishna District,Between 80º 0’ to  80º 05’ East,Between 16º 50’ to  16º 55’ North,No,,Groundmount,Ploy,SOLAR SEMICONDUCTOR,,KCP INHOUSE CAPTIVE,NA,KCP 132KV SS,132KV/6.6KV,KCP,132KV,1,1.15,06.07.2013,,2013-14
15,Sri City Power Private Limited,,"18 Ilabs Centre, Building -3, Madhapur, HYDERABAD – 500 081",,,,3,Chervi,Satyavedu,Chittoor,79.982,13.528,No,NA,Ground Mounted,,,State,Third Party Sale,,,,,,3,,29.10.2013,,2013-14
16,Trimax Sands Pvt Ltd,V.H Rafi Ahammed(Sr.Vice president -Operations),"Vatsavalasa (Vil), Gara Mandal, SRIKAKULAM",9177771329,9704928886,rafi.ahammed@trimexsands.com,1,Vatsavalasa,Gara ,Srikakulam,84 ⁰ ,18.3,No,NA,Ground Mounted ,Poly Crystalline,RENESOLA,State,Captive Use,NA,Ampolu ,132 KV/33 KV,TRIMEX SANDS PVT LTD,33 KV,1,1,26.03.2014,,2013-14
17,Solarays Eco Energy Inc,Mr. Rakesh Kanthraj,"No. 1028, 25th Main, 39th Cross, 4T Block, Jayanagar, Bangalore, Pin No. 560041",NA,8105319795,rakesh.kanthraj@gmail.com,2,Beechiganipalli ,Beechiganipalli,Ananthapuramu,77.5°,13.9,Yes,NA,Ground mounted,Poly Crystalline,Emmvee,State,Third Party Sale,NA,Manesamundram,33/11KV,Solarays Eco Energy Inc,33KV,2,2.004,22.05.2014,,2014-15
18,Meda Sreedhar,Mr. Meda Sreedhar,"Sumo Pinnacle, IInd Floor, # 539, 9th Cross, S Kariyappa Road, 7th Block, Jayanagar, Bangalore, Pin Code 560070, Karnataka, India",NA,9008983355,ms@sumotech.in,2,Beechiganipalli,Beechiganipalli,Ananthapuramu,77.5,13.9,Yes,NA,Ground mounted,Poly Crystalline,Emmvee,State,Third Party Sale,NA,Manesamundram,33/11KV,Meda Sreedhar,33KV,2,2.004,22.05.2014,,2014-15
19,"NSS Solar Power
(M/s Prakash Motors)","Mr. Jayaprakash K 
(Partner)","No.714, Samrudhi Plaza, 3rd floor, Bangalore Nethralaya, 5th D Cross, 2nd Block, HRBR Layout, Kalyannagar, Bangalore-560043, Karnataka, India.",8043233301,9880552028,Jayaprakash.K@EMMVEE.IN,1,Beechiganipalli,Beechiganipalli,Ananthapuramu,77.5,13.9,Yes,NA,Ground mounted,Poly Crystalline,Emmvee,State,Third Party Sale,NA,Manesamundram,33/11KV,"NSS Solar Power
(Prakash Motors)",33KV,1,1.002,29.04.2014,Ownership changed from M/s. Prakash Motors,2014-15
20,"NSS Solar Power
(M/s Prakash Agencies)","Mr. Jayaprakash K 
(Partner)","No.714, Samrudhi Plaza, 3rd floor, Bangalore Nethralaya, 5th D Cross, 2nd Block, HRBR Layout, Kalyannagar, Bangalore-560043, Karnataka, India.",8043233301,9880552028,Jayaprakash.K@EMMVEE.IN,1,Vangalapally,Beechiganipalli,Ananthapuramu,77.5°,13.9,Yes,NA,Ground mounted,Poly Crystalline,Emmvee,State,Third Party Sale,NA,Manesamundram,33/11KV,"NSS Solar Power
(M/s Prakash Agencies)",33KV,1,1.002,29.04.2014,Ownership changed from M/s. Prakash Agencies,2014-15
21,SEI Sri Power Pvt.Ltd(M/s. Emmvee Photovoltaic Power  Private Limited),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,10,Beechaganipalli,Hindupur,Ananthapuramu,"77'51'70""","13'94'50""",No,NA,Ground mounted,Poly & Mono Crystalline,Emmvee,State ,Third Party Sale,NA,Manesamudram , 33/11 KV,10 MW Solar  Park,33 KV,10,10.7,30.05.2014,,2014-15
22,"Southern Rocks
 & Minerals Pvt Ltd",Mr.Subbareddy,"Cheruvukommu palem Road
Pellur (V)
Ongole 
Prakasam Dist",9849913592,9949316199,"srmfactory@yahoo.com
anjale.shyam@gmail.com",1,Pelluru,Ongole,Prakasam,80.045,15.451,No,NA,Ground  mounted,Mono Crystalline,BOSCH,State ,Captive Use,NA,"Cheruvukommu 
palem",33/11 KV,"Southern Solar 
Feeder",11 KV,1,1.03,30.04.2014,,2014-15
23,The Andhra Sugars Ltd,Chiarman & Managing Director,"Anhra Sugars Ltd, Kovvuru,West Godavai Dt. 534350",08813-231597,, info.tnk@theandhrasugars.com ,2.5,Kovvur,Kovvur,West Godavari,81⁰.73' 79,17.01,No,NA,Ground mounted,Poly Crystalline,"Canadian Solar 
Tata Solar",State,Captive Use,NA,Kovvur,132/33KV,"Anhra Sugars Ltd, Kovvur",33 KV,2.5,3.5,21.06.2014,,2014-15
24,Indira Power Pvt Ltd,D.Hemanth Reddy,"No.1644E,H-Block Sarayu Apts., 14th Street,16th Main Road,Anna Nagar West,
Chennai-600040",044-26163891,9840890393,cs@indirapower.co.in,0.7,Karur,TADA,SPSR NELLORE,80.052,13.553,No,NA,Ground mounted,Poly Crystalline ,"WAREE,
Shan solar",State,Captive power,NA,"B.V Palem 
",33/11 KV,Indira Power,11KV,0.7,0.7,30.06.2014,,2014-15
25,Megha Engineering And Infra Structure (Formerly MEIL Green Power Ltd),N M Venugopal,"Megha Engineering and infrastructure limited,Regd.office:S-2,Technocrats industrial estate(T.I.E),Balanagar,Hyderabad - 500037",4044336700,9676999067,nmvenugopal@meilgroup.com,50,Nagalapuram,Peddavaduguru,Ananthapuramu,77.69,14.94,No,NA,Solar Thermal,NA,NA,Central,PPA,25,Nagalapuram,132 KV,Gooty-AnanthapurDC Line,132 KV,50,NA,04.11.2014,-,2014-15
26,Savitha Renewable Energy Pvt Ltd,,"4-4-105, 3/1 Chandramoulinagar,
GUNTUR – 522 007.",,7330905888,savithasolarenergy@gmail.com,1,Kamepalli Brahmanapalli,Piduguralla,Guntur ,,,No,NA,Ground Mounted,Poly Cryatalline,Canadian Solar,State,PPA,25 Years,Brahmanapalli,33/11 KV,"Kondamodu
Feeder",11 KV,1,-,19.01.2015,,2014-15
27,Arkha Solar Pvt. Ltd,K.Srinivas 040-23001230,"Elakolanu (V), Rangampeta (M), E.G.Dist.",040-23001230,"Elakolanu (V), Rangampeta (M), E.G.Dist.",ramnath@armstrongenergyglobal.com,1,Elakolanu,Rangampet,East Godavari,,,No,NA,Ground Mounted,,,State,Third Party Sale,NA,,,,,1,,01.01.2015,,2014-15
28,Amaravathi Textiles Pvt Ltd (Solar Division),KANDIMALLA SRINIVASA RAO,"Nellore Palem (Village),(Post), Atmakur (Mandal).SPSR Nellore (District). PIN:524322",9704035557,9989623665,atplele@yahoo.com ; manohar.kancharla111@gmail.com,5,Nellorepalem,Atmakur,SPSR Nellore,79.617,14.617,No,NA,Ground Mounted,Poly Crystalline,RENUSOLA & JINKO SOLAR,State,PPA,25 Years,"Nellore Palem,Atmakur",132KV/33KV,Amaravathi solar,33 KV,5,5.4,31.03.2015,,2014-15
29,Varshini Exim Pvt Ltd,Mr. K. Meher Srinivas,"Door No.1594, Prasanthi Nagar, Khadi Colony, Tirupati-517501",8897094339,8897094339,mail_varshini@rediffmail.com,2.4,Nagari Madugu-SS(V),Voyalpadu(M),Chittoor,78.706,13.701,No,NA,Ground Mounted,Poly Crstalline,Canadian Solar,State ,Third Party Sale,NA,NagariMadugu,33KV,,,2.4,2.6,13.04.2015,,2015-16
30,Bharathi Solar Power Pvt Ltd,,Guntur,,9394157799,bharathisolarpower@gmail.com,1,Nidumukula,Tadikonda,Guntur ,80.412,16.455,No,NA,Ground Mounted,Poly Cryatalline,Canadian Solar,State,Captive Use,NA,Nidumukkala,33/11 KV,Nidumukkala,11 KV,1,,30.06.2014,,2014-15
31, Sri Laxmi Venkateswara Green Energy Pvt Ltd,,"D No. 13-37, Peda Gandhi Bomma Centre, Nuzvid-521 201",9440989089,,csguntur@gmail.com,1,Morasapudi, Nuziveedu, Krishna ,80.891,16.75,NoNA,Sri Lakshmi Venkateswara green energy pvt ltd,Ground mounted,Poly Crystalline,RENESOLA,STATE,PPA,20,MORSAPUDI,33/132 KV,,33KV,1,1,30.06.2014,,2014-15
32,Abhedya Power private limited , S D Vivekananda,"D.no-74-12-8A Radha Krishna residency patamata,vijayawada ",9490769769,94407 47885,abhedyapower@gmail.com ,2,Ubicherla,Nallacheruvu ,Ananthapuramu,78.137,13.986,No,NA,Ground mounted,Mono crystalline,Reno sola,State ,PPA,20 Years,Ubhicherla ,33/11,Kadiri Divn,11 KV,2,2,08.08.2014,,2014-15
33,SEI Sri Ram Power Pvt.Ltd (M/s Emmvee Energy Pvt Ltd),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana ",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,5.4,Gowriganapalli,Hindupur,Ananthapuramu,,,No,NA,Ground mounted,Poly Crystalline,Emmvee,State,Third Party Sale,NA,Sreekantapur , 33/11 KV,5.40 Solar ,33 KV,5.4,,17.07.2015,,2015-16
34,Vuddanda Solar Projects (P) Ltd,Mr. M.Blakrishna Reddy,"4A, Ramnivas Apartments, STV Nagar, Tirupathi, AP",9849047005,9849047005,vuddandasolrpower@gmail.com,3,Chinthamakulapalli,Sadum ,Chittoor,78.822,13.616,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State ,Third Party Sale,NA,Palamanda,33/11 KV,,,3,3.3,01.10.2015 ,,2015-16 
35, Sri Sai Achyuth Energy Pvt Ltd,Sri. C. Sankar Reddy,"H.No. 45/142-47-4-2, Plot No. 29, Road No.2, Ramalingeswara Nagar, Kurnool - 518003",7013294949 & 9490693554,7013294949 & 9490693554,carsrreddy@gmail.com,5,Jagadurthy,Dhone,Kurnool,"77.52'54.88""","15.26'59.78""N",No,NA,Ground mounted,Poly Crystalline,HTAAE,State,Third Party Sale,NA,Jagadurthy,33/11 KV,Jagadurthy,33 KV,5,5.5,18.10.2015,,2015-16
36,Maddimadugu Power Pvt Ltd                    (Rajaratna Energy Holdings Pvt Ltd),K.Prasad Reddy,"H.No:1-98/6/J/26/NR,Jubilee Enclave,Madhapur,Hyderabad-500081.",040-38123707,8142537431,pavanreddy2011@gmail.com,5,Maddimadugu,Nallacheruvu,Ananthapuramu,"78°08'47.4""","14°00'43.2""",No,NA,Ground mounted,Poly Crystalline,Renesola,State,PPA,25 Years,Ubhicherla,33/11 KV ,Maddimadugu,33KV,5,5.55,19.11.2015,,2015-16
37,Sri Vijaya Visakha Milk Producers Co.Ltd,"Sri.S.V.Ramana,
M.D",Visakhapatnam,"(0891) 2517230, 2517290, 2517555/ ",9959499895,md@visakhadairy.com; electrical@visakhadairy.com,1.65,Malicherla,Vizianagaram,Vizianagaram,83.387,18.079,No,NA,Ground mounted,Poly Crystaline,Canadian Solar,State,Captive Use,NA,Vantithidi  ,33/132 KV,Visakha Milk Producers,33 KV,1.65,1.65,27.11.2015,,2015-16
38,Amaravathi Textiles Pvt Ltd (Solar Division),Kandimalla Srinivasa Rao,"Nellore Palem (Village),(Post), Atmakur (Mandal).SPSR Nellore (District). PIN:524322",9704035557,9989623665,atplele@yahoo.com ; manohar.kancharla111@gmail.com,5,Nellorepalem,Atmakur,SPSR Nellore,79.617,14.617,No,NA,Ground mounted,Poly Crystalline,RENUSOLA & JINKO SOLAR,State,PPA,25 Years,",Nellore Palem,Atmakur",132/33KV,Amaravathi Solar,33 KV,5,5.7,28.11.2015,,2015-16
39,"Prgathi 
Group",Mr. Y A Hari Kishore,"S No 28/2,2nd
 Floor, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560052","095385 56666
","095385 56666
",info@pragathigroup.net,2,Kanupade,Chintalapudi,West Godavari,81.014,17.038,No,NA,Ground mounted,Poly Crystalline,Canidian Solar,State,"Third Party
 Sale",NA,Chintalapudi,33/132 KV,"Pragathi
 Group Solar",33KV,2,2.2,31.12.2015,,2015-16
40,GRT Jewellers (INDIA) Pvt.Ltd.,Veeramani.M,"21 Coats road, T Nagar, Chennai-600017",044-23461515,9566100888,veeramani.m@grtjewels.com,6,Veerabommanahalli,Amarapuram,Ananthapuramu,77.044,14.02,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State,PPA,25 Years,Jammalabanda ,132/33 KV,GRT Solar,33KV,6,7.47,05.01.2016,No,2015-16
41,Bright Solar Renewable Energy Pvt. Ltd.,Mr. Basant Jain,"7th Floor, WeWork, Raheja Platinum, Sag Baug Road, off, Andheri - Kurla Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",9377756205,9789829137,s.vigneshwaran@mahindra.com,10,Basavanahalli,Amarapuram,Ananthapuramu,77.045923°,14.02548°,No,NA,Ground mounted,Poly Crystalline,TRINA,State,PPA,25 Years,Jammalabanda, 132/33 KV,Bright 33KV,33 KV,10,12.505,05.01.2016,,2015-16
42,Palnadu Solar Power Pvt Ltd,Mr JD Seelam,"Pllot no.3, Sai Towers, 4th line Brundavan Gardens, Guntur.",,,jdseelam@yahoo.co.in,5,Inumella,Ipuru,Guntur ,"16⁰17'39.23"" ","79⁰48'49.49""",No,NA,Ground mounted,Poly Cryatalline,DAQO Solar,State,PPA,25 Years,Chejerla,33/11 KV,"Chejerla
Piduguralla",33 KV,5,5.6,31.3.2016,-,2015-16
43,"Renew Solar Energy
 (Karanataka) Pvt. Ltd.",Mr.Parag,"ReNew Power, Commercial Block-1, Zone 6, Golf Course Road, Phase V, Gurugram, - 122009",+91 124 4896670/80,9949813030,info@renewpower.in,21,Tarulapadu,Tarlapadu,Prakasam,"79⁰15'38.26"" ","15⁰38'39.24""",No,NA,Ground mounted,Poly Crystalline,Hareon Solar,State,PPA,25 Years,Cumbum ,132/33 KV,33 KV Renew Solar ,33 KV,21,21,08.03.2016,NIL,2015-16
44,Renew Energy (Karnataka) Pvt Ltd,Mr.Parag,"#408, 4th floor, Ashok Bhoopal Chambers, SP Road, Secunderabad-500003","Mr Ishan Nagpal,9560003515","Mr Ishan Nagpal,9560003515",info@renewpower.i n,39,Chagi,Adoni,Kurnool,77.265,15.527,No,NA,Ground mounted,Poly Crystalline,Hareon Solar,State,PPA,25 years,Adoni,132KV/33      KV,Renew Power,132 KV,39,46.8,08.03.2016,,2015-16
45,"Walwhan 
Renewable Energy Ltd. (M/s Welspun Renewable Energy Ltd)","Mahesh 
Pranjpe","Near lomada village, simhadripuram mandalam , balapanur, pulivendula , kadapa dist. AP",9030531255,9030531255,"suresh.giri@
tatapower.com",30,Lomada,"simhadripuram
 mandal",YSR Kadapa ,78.208,14.609,No,NA,Ground mounted,Thin film & Poly Crystalline,"Solar frontier 
& JA solar",State,PPA,25 Years, Balapanur,33/132KV,Welspun ,132 KV,30,32.248,08.03.2016,,2015-16
46,Ushodaya Enterprises Pvt. Ltd,G. Rajendra Babu,"Ushodaya Enterprises Pvt. Ltd., SP-1 Building, Ramoji Fil City, Anajpur (v), Abdullapurmet (Md.), Ranga Reddy (Dist.), Rtelangana - 501512",040-22232223,8008001234,rajendrababu@eenadu.net     kogantinaveen@eenadu.net,5,Tadimarri,Tadimarri,Ananthapuramu,77.842,14.565,No,NA,Ground mounted,Mono Crystalline,REC,State,"Captive/
Third party sale",NA,"Tadimarri 
",33KV,Ushodaya,33 KV,5,5,23.03.2016,,2015-16
47,Azure Power India Pvt Ltd,Mr.Hariharan,"No:8,L.S.C,Madangir Pushp Vihar,New Delhi-110062",,96420 09392,,50,Vemulapadu,Yadiki,Ananthapuramu,"77°50'27.6""","15°01'23.1""",No,NA,Ground mounted,,,State,PPA,25 Years,Tadipatri ,220/33KV,Azure,132 KV,50,,28.03.2016,,2015-16
48,Aarohi Solar Private Limited (Acme Cleantech Solutions Pvt Ltd),Mr Ankur Kumar,"Plot No: 152,  Sector-44, Gurgaon-122002 (Haryana), India",0124-7117000,"09177344215, 09966629387","planthead.hindupur.solar@acme.in, pradeep.tholety@acme.in, ashutosh.singh@acme.in, operations.hindupur.solar@acme.in, mvsreddy@acme.in",50,Hindupur,"Roddam mandal,penukonda Taluk",Ananthapuramu,77.481,13.977,No,NA,Ground mounted,Thin Film,Solar Frontier,State,PPA,25 Years,Hindupur ,220/132/33KV,Aarohi Solar Pvt Ltd,132 KV,50,50.494,29.03.2016,,2015-16
49,Welspun Renewable Energy Pvt Ltd,Sri. Mahesh Paranjpe,"Tata Power Renewable Energy Ltd., Corporate Centre, 34 Sant Tukaram Road, Carnac Bunder, Mumbai 400 009, Maharashtra, India",2267171512,",02267171512 and 9959083311 (Mr. Venkata Ramana, Site Incharge)",b.venkataramanaiah@tatapower.com,70,Banaganapalli,Banagana- palli,Kurnool,78.193,15.24,No,NA,Ground mounted,Poly Crystalline,GCL,State,PPA,25 Years,Vemulapadu,33/132KV,Vemula-padu,132KV,70,74.74,30.03.2016,,2015-16
50,EAAMA Estates Pvt Ltd ,"Sri.E.Sagar,
C.E.O","#50-121-14/1, Balaya Sastry Layout, Seethammadhara, Vishakapatnam - 530 013",0891-2575787,8944258444,md@eaama.in,3,GR Valasa,Badamgi,Vizianagaram,83.345,18.473,No,NA,Ground mounted,Poly Crystaline,ReneSola,State,PPA,25 Years,Gajarayunivalasa ,33/11 KV,EEMA solar,33 KV,3,3,30.03.2016,,2015-16
51,New Era Enviro ventures mahaboobnagar Pvt ltd,Mr.Sudheer Moola,"Namarta Estate,Greenlands,Ameerpet Road,Hyderabad-500 016",,9848994412,subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,10,Bandapalli,Ramapur,YSR Kadapa ,,,No,NA,Ground mounted,Poly Crystalline, GCL&PSS,State,PPA,20 Years,"Bandapalii,Ramapuram,Rayachoty",132/33 KV,New Era,33 KV,10,,30.03.2016,,2015-16
52,Hindupur Solar Park Pvt Ltd. (First Solar Power India Pvt Ltd),D Srinivasa Rao,"7-1-414/A&A1, Srinivasa Colony East, SR nagar, Ameerpet, Hyderabad-500038",040-42607960,9849008815,srinivasa.rao@vector-green.com,40,Beechiganipalli and Seagipalli,Parigi,Ananthapuramu,77° 29' 50.2'' ,13° 56' 05.8'',No,NA,Ground mounted,Thin Film,First Solar,State,PPA,25,Beechiganipalli,33/132 KV,HSPPL Solar ,132 KV,40,48.007,31.03.2016,,2015-16
53,ACME Clean Tech (Dayanidhi Solar Power Pvt Ltd),Mr Ankur Kumar,"Plot No 152, Sector 44, Gurgaon - 122002",,9990399839,"info@acme.in, mvsreddy@acme.in",40,Morsanapalli & Gunjarlapalli ,Kuppam,Chittoor,12° 52' 23.38'' ,78° 23' 01.30'' ,,,,,,,,,,,,,40,,31.03.2016,,2015-16
54,ACME Clean Tech (Vishwatma Solar Energy Pvt Ltd),Mr Sandeep Kashyap,"Plot no. 152, Sector-44, Gurgaon -122002",0124711-7000,9911299530,sandeep.kashyap@acme.in,10,Kadivella,Yemmiganur,Kurnool,77.49,15.679,No,NA,Ground mounted,Poly Crystalline,"BYD, Talesun",State,PPA,25 Years,Yemmiganur,33/132KV,ACME Vishwathma,33 KV,10,10,31.03.2016,,2015-16
55,ACME Clean Tech (Niranjana Solar Energy Pvt Ltd),Sandeep Kashyap,"Plot no. 152, Sector-44, Gurgaon -122002",0124711-7000,9911299530,sandeep.kashyap@acme.in,20,Puchakaya Mada,Pattikonda,Kurnool,77.493,15.36,No,NA,Ground mounted,Poly Crystalline,"BYD,Talesun",State,PPA,25 Years,Pattikonda,132KV,Niranjana,33  KV,20,20.1,31.03.2016,,2015-16
56,ACME Clean Tech (M/s.Vishwatma Solar Energy Pvt Ltd),Sandeep Kashyap,"Plot no. 152, Sector-44, Gurgaon -122002",0124711-7000,9911299530,sandeep.kashyap@acme.in,20,Kadivella,Yemmiganur,Kurnool,77.49,15.679,No,NA,Ground mounted,Poly Crystalline,"BYD, Talesun",State,PPA,25 Years,Yemmiganur,33/132 KV,ACME Vishwathma,132 KV,20,30,20.04.2016,,2016-17
